effect_date,containment_policy,end_date
2020-01-30,Suspension of issuing new visas in China,Indefinite
2020-02-09,Suspension of direct flights to and from China,Indefinite
2020-03-04,"Duty to report gatherings of over 5,000 people",Indefinite
2020-03-05,Suspension of direct flights to and from selected regions of Italy,2020-03-19
2020-03-05,Suspension of direct flights to and from South Korea,2020-03-24
2020-03-05,Spectators banned from attending the World Biathlon Cup Championship race,2020-03-08
2020-03-07,Suspension of issuing of new visas in Iran,Indefinite
2020-03-07,Random medical checks at major border crossings,Indefinite
2020-03-07,All who return from Italy are ordered to contact their general practitioner and self-quarantine for 14 days,Indefinite
2020-03-08,All people who were in contact with confirmed COVID-19 patients are  ordered to mandatory 14 day self-quarantine,Indefinite
2020-03-09,Gatherings of 100 or more people banned,Indefinite
2020-03-10,Anyone crossing borders into the Czech Republic must allow authorities to perform a medical check,Indefinite
2020-03-10,Anyone who visited a selected countries over the past 14 days subject to mandatory self-quarantine of 14 days,Indefinite
2020-03-10,Ban on visits in hospitals and similar facilities,Indefinite
2020-03-10,Army units deployed to support border enforcement,Indefinite
2020-03-11,All pupils and students banned from personally attending classes,Indefinite
2020-03-13,COVID-19 added to list of diseases the willful spreading of which constitutes a felony,Indefinite
2020-03-13,"Public banned from entering premises of selected services (including fitness centres, public libraries, and social clubs)",Indefinite
2020-03-14,Public banned from entering tourist information centres and swimming pools,Indefinite
2020-03-14,All publicly accessible restaurants closed,2020-04-11
2020-03-14,Gatherings of 30 or more people banned,Indefinite
2020-03-14,General closure of services and retail sale,2020-04-11
2020-03-14,Any road vehicles with a capacity of more than 9 people (incl. driver) banned from crossing borders,Indefinite
2020-03-14,Family members banned from visiting relatives in prisons and jails,Indefinite
2020-03-14,"Public banned from entering sporting venues for 30 or more people, both indoor and outdoor",Indefinite
2020-03-14,Public authorities restricted to perform only to necessary duties,2020-04-11
2020-03-14,Provisional enforcement of borders with Germany and Austria and limitations on international flights,Indefinite
2020-03-14,Foreigners coming in from selected countries banned from entering the Czech Republic,Indefinite
2020-03-14,"""Drive-through"" tents set up in front of designated hospitals around the country",Indefinite
2020-03-15,Na Homolce Hospital and St. Anna University Hospital designated to deal with COVID-19 only,Indefinite
2020-03-15,Soldiers and Customs Service agents being deployed at the border deputised for police duty,Indefinite
2020-03-16,Order for persons to limit movement through public places and limit contact with others as much as possible,2020-04-11
2020-03-16,Quarantine of town of Litovel and 18 nearby municipalities including Uničov and Červenka,2020-03-30
2020-03-16,Quarantine of municipality of Kynice,Indefinite
2020-03-16,Czech residens not allowed to leave the country and foreigners not allowed to enter the country,2020-04-12
2020-03-19,"Ban on movement outside of the home without having mouth and nose covered by a respirator, face mask or similar",Indefinite
2020-03-19,Only elderly (65+) can enter establishments at selected times,Indefinite
2020-03-23,Gatherings of more than 2 people banned,2020-04-11
2020-03-24,Municipal and regional assemblies shall convene only for necessary purposes,Indefinite
2020-03-28,Several hundred beds were set aside for quarantine and treatment of elderly with mild symptoms,Indefinite
2020-03-30,Soldiers deployed to reinforce health authority for the purpose of tracing contacts of COVID-19 positive patients,Indefinite